id,user_type,source,content,created_at
E001,高中生,问卷,我做完题不知道错因是什么，只看到答案还是不会改,2026-06-01
E002,家长,客服,孩子每天学习很多内容，但我不知道薄弱点在哪里,2026-06-01
E003,老师,访谈,班级里学生错题很多，人工归类错因太耗时间,2026-06-02
E004,高中生,社群,希望系统能告诉我下一步应该练哪些题，而不是随机推荐一堆题,2026-06-02
E005,老师,问卷,我需要看到学生共同薄弱知识点，方便备课时统一讲解,2026-06-03
E006,家长,访谈,不希望 AI 直接替孩子写答案，更希望它提示思路,2026-06-03
E007,高中生,客服,如果能把一周错题和改进建议导出，我可以周末复习,2026-06-04
E008,老师,社群,希望系统标记哪些题是概念错误，哪些是计算错误,2026-06-04
E009,家长,问卷,我想收到简短的学习总结，但不要每天发太多消息,2026-06-04
E010,高中生,访谈,我希望推荐题目能解释为什么适合我当前水平,2026-06-04
