id,user_type,source,content,created_at
R001,应届生,访谈,我投了很多岗位但不知道为什么没有回复，希望能知道简历哪里不匹配,2026-06-01
R002,转行求职者,社群,每个岗位都要重新改简历，尤其是不知道该突出哪些经历,2026-06-01
R003,应届生,问卷,JD 写得太长了，我看不出来哪些要求是必须满足的,2026-06-02
R004,社招,客服,我希望系统能告诉我简历和目标岗位差距在哪里，而不是只给一个分数,2026-06-02
R005,海外求职者,社群,不同地区岗位关键词不一样，我不确定简历里的表达是否合适,2026-06-03
R006,转行求职者,问卷,我不想让 AI 直接改我的简历，我更想先看到修改建议,2026-06-03
R007,应届生,客服,如果能把修改建议导出成清单，我可以自己慢慢改,2026-06-04
R008,社招,访谈,我想知道哪些项目经历最应该放在前面，以提高岗位匹配度,2026-06-04
R009,应届生,社群,希望有一个投递前的匹配评分，帮我判断这个岗位值不值得投,2026-06-04
R010,转行求职者,客服,我担心 AI 改完之后不像我自己的经历，所以希望保留原文和建议对照,2026-06-04
