id,user_type,source,content,created_at
S001,销售主管,访谈,客户线索很多但优先级不清楚，团队经常先跟进了不重要的客户,2026-06-01
S002,一线销售,客服,我想知道哪些客户最近更可能成交，现在只能靠自己判断,2026-06-01
S003,销售运营,问卷,每天整理销售跟进记录太花时间，希望系统自动提取关键信息,2026-06-02
S004,销售主管,社群,团队复盘时看不到为什么某些机会推进慢，缺少统一原因分类,2026-06-02
S005,一线销售,访谈,如果能自动提醒我哪些客户超过三天没跟进就好了,2026-06-03
S006,销售运营,客服,我不希望系统自动改客户阶段，至少要让我确认之后再更新,2026-06-03
S007,销售主管,问卷,希望看到每个销售本周高风险商机有哪些，方便开会时讨论,2026-06-04
S008,一线销售,社群,客户聊天记录里有很多有效信息，但我没时间手动写摘要,2026-06-04
S009,销售运营,访谈,我们需要导出一份跟进建议给销售，但不要直接替他们发消息,2026-06-04
S010,销售主管,客服,如果系统能解释推荐优先跟进某个客户的原因，会更容易让团队接受,2026-06-04
